Source,Target,Weight
Bangkalan,Surabaya,33.2
Bangkalan,Sampang,61.9
Sampang,Bangkalan,61.9
Sampang,Pamekasan,34.3
Sampang,Surabaya,79.7
Pamekasan,Sampang,34.3
Pamekasan,Sumenep,53.3
Sumenep,Pamekasan,53.3
Surabaya,Bangkalan,33.2
Surabaya,Sampang,79.7
Surabaya,Sidoarjo,23.9
Surabaya,Gresik,20.5
Surabaya,Lamongan,44.8
Surabaya,Mojokerto,54.1
Surabaya,Jombang,82.1
Surabaya,Nganjuk,117
Surabaya,Madiun,166
Surabaya,Ngawi,186
Surabaya,Kediri,121
Sidoarjo,Surabaya,23.9
Sidoarjo,Gresik,41.7
Sidoarjo,Lamongan,68.3
Sidoarjo,Mojokerto,39.8
Sidoarjo,Jombang,70.3
Sidoarjo,Kediri,120
Sidoarjo,Pasuruan,38
Sidoarjo,Malang,69.3
Sidoarjo,Batu,78.2
Gresik,Surabaya,20.5
Gresik,Lamongan,30.4
Gresik,Sidoarjo,41
Gresik,Mojokerto,59.8
Gresik,Jombang,96.5
Gresik,Nganjuk,131
Gresik,Madiun,181
Gresik,Ngawi,201
Gresik,Kediri,136
Lamongan,Gresik,30.4
Lamongan,Tuban,55.5
Lamongan,Bojonegoro,66.6
Lamongan,Surabaya,44.8
Lamongan,Mojokerto,49.6
Lamongan,Jombang,75.3
Lamongan,Nganjuk,104
Lamongan,Madiun,159
Lamongan,Ngawi,180
Lamongan,Kediri,115
Lamongan,Blitar,142
Lamongan,Batu,112
Tuban,Lamongan,55.5
Tuban,Bojonegoro,47.4
Tuban,Jombang,117
Tuban,Ngawi,118
Tuban,Mojokerto,94.6
Tuban,Madiun,130
Bojonegoro,Tuban,47.4
Bojonegoro,Lamongan,66.6
Bojonegoro,Nganjuk,65.1
Bojonegoro,Ngawi,73.1
Bojonegoro,Madiun,98.3
Bojonegoro,Nganjuk,65.1
Bojonegoro,Mojokerto,88.1
Mojokerto,Sidoarjo,39.8
Mojokerto,Surabaya,54.1
Mojokerto,Gresik,59.8
Mojokerto,Lamongan,49.6
Mojokerto,Tuban,94.6
Mojokerto,Bojonegoro,88.1
Mojokerto,Jombang,29.5
Mojokerto,Nganjuk,71.6
Mojokerto,Ngawi,142
Mojokerto,Blitar,98.1
Mojokerto,Batu,62.7
Mojokerto,Malang,93.7
Mojokerto,Pasuruan,67.4
Mojokerto,Probolinggo,106
Mojokerto,Lumajang,175
Mojokerto,Jember,224
Mojokerto,Bondowoso,235
Mojokerto,Situbondo,239
Jombang,Surabaya,82.1
Jombang,Sidoarjo,70.3
Jombang,Gresik,96.5
Jombang,Lamongan,75.3
Jombang,Tuban,117
Jombang,Mojokerto,29.5
Jombang,Nganjuk,40.1
Jombang,Kediri,44.5
Jombang,Blitar,76.7
Jombang,Batu,73.1
Jombang,Pasuruan,93.7
Jombang,Lumajang,172
Jombang,Jember,221
Jombang,Probolinggo,133
Jombang,Bondowoso,232
Jombang,Situbondo,236
Nganjuk,Surabaya,117
Nganjuk,Gresik,131
Nganjuk,Lamongan,104
Nganjuk,Bojonegoro,65.1
Nganjuk,Mojokerto,71.6
Nganjuk,Jombang,40.1
Nganjuk,Madiun,49.8
Nganjuk,Ngawi,74
Nganjuk,Kediri,32.1
Nganjuk,Batu,101
Madiun,Surabaya,166
Madiun,Gresik,181
Madiun,Lamongan,159
Madiun,Tuban,130
Madiun,Bojonegoro,98.3
Madiun,Nganjuk,49.8
Madiun,Ngawi,32.1
Madiun,Magetan,24.8
Madiun,Ponorogo,30.9
Ngawi,Surabaya,186
Ngawi,Gresik,201
Ngawi,Lamongan,180
Ngawi,Tuban,118
Ngawi,Bojonegoro,73.1
Ngawi,Mojokerto,142
Ngawi,Nganjuk,74
Ngawi,Madiun,32.1
Ngawi,Magetan,36.3
Ngawi,Ponorogo,60.3
Magetan,Madiun,24.8
Magetan,Ngawi,36.3
Magetan,Ponorogo,33.8
Magetan,Pacitan,94.2
Pasuruan,Sidoarjo,38
Pasuruan,Mojokerto,67.4
Pasuruan,Jombang,93.7
Pasuruan,Malang,59.2
Pasuruan,Probolinggo,39
Pasuruan,Lumajang,87.6
Pasuruan,Jember,137
Batu,Sidoarjo,78.2
Batu,Lamongan,112
Batu,Mojokerto,62.7
Batu,Jombang,73.1
Batu,Nganjuk,101
Batu,Kediri,83.9
Batu,Blitar,72.1
Batu,Malang,18.9
Malang,Sidoarjo,69.3
Malang,Mojokerto,93.7
Malang,Pasuruan,59.2
Malang,Batu,18.9
Malang,Blitar,73.3
Malang,Lumajang,89.4
Kediri,Surabaya,121
Kediri,Sidoarjo,120
Kediri,Gresik,136
Kediri,Lamongan,115
Kediri,Jombang,44.5
Kediri,Nganjuk,32.1
Kediri,Batu,83.9
Kediri,Blitar,44
Kediri,Tulungagung,29.9
Blitar,Lamongan,142
Blitar,Mojokerto,98.1
Blitar,Jombang,76.7
Blitar,Batu,72.1
Blitar,Malang,73.3
Blitar,Kediri,44
Blitar,Tulungagung,32.9
Blitar,Trenggalek,63.8
Tulungagung,Kediri,29.9
Tulungagung,Blitar,32.9
Tulungagung,Trenggalek,32.1
Tulungagung,Ponorogo,69.1
